open,high,low,close,volume,date,hour,ticker
143.425,143.425,143.425,143.425,620,2021-04-12,10:00:00,NVDA
143.475,143.475,143.1875,143.25,2708,2021-04-12,12:00:00,NVDA
143.1875,143.75,143.1875,143.75,14176,2021-04-12,13:00:00,NVDA
143.75,143.75,143.4975,143.5,21356,2021-04-12,14:00:00,NVDA
143.395,144.1225,141.92,142.3975,3274688.0,2021-04-12,15:00:00,NVDA
142.4288,142.8675,141.3925,142.295,3463840.0,2021-04-12,16:00:00,NVDA
142.295,143.0375,142.1625,142.75,2740800.0,2021-04-12,17:00:00,NVDA
142.7388,148.5,142.67,148.3223,19731612.0,2021-04-12,18:00:00,NVDA
148.3125,150.37,148.0075,149.32,16620912.0,2021-04-12,19:00:00,NVDA
149.2925,153.29,149.235,152.3275,21424804.0,2021-04-12,20:00:00,NVDA
152.3025,153.525,151.8475,152.0725,16158412.0,2021-04-12,21:00:00,NVDA
152.09,152.45,152.09,152.2825,1377956.0,2021-04-12,22:00:00,NVDA
152.3575,152.375,151.71,151.925,156220,2021-04-12,23:00:00,NVDA
151.925,152.235,151.75,151.9,177756,2021-04-13,00:00:00,NVDA
151.9,151.9475,151.5075,151.5125,107692,2021-04-13,01:00:00,NVDA
151.5,151.5,151.1875,151.2725,14888,2021-04-13,10:00:00,NVDA
151.3,151.7,151.3,151.7,15600,2021-04-13,11:00:00,NVDA
151.8025,151.875,151.7025,151.7675,20400,2021-04-13,12:00:00,NVDA
151.8025,151.875,151.5,151.6875,85960,2021-04-13,13:00:00,NVDA
151.75,153.2275,151.515,153.0825,611504,2021-04-13,14:00:00,NVDA
153.0825,156.2225,151.2575,155.645,20369196.0,2021-04-13,15:00:00,NVDA
155.6425,156.35,154.5275,155.5414,13906424.0,2021-04-13,16:00:00,NVDA
155.5325,155.715,154.1625,154.518,6788512.0,2021-04-13,17:00:00,NVDA
154.5063,155.275,154.1475,154.5475,5025408.0,2021-04-13,18:00:00,NVDA
154.615,156.1625,154.6125,155.7975,4281832.0,2021-04-13,19:00:00,NVDA
155.8575,156.2975,155.0,156.1,4491500.0,2021-04-13,20:00:00,NVDA
156.1175,157.0,155.8175,156.795,8589044.0,2021-04-13,21:00:00,NVDA
156.795,156.795,156.625,156.7875,1162028.0,2021-04-13,22:00:00,NVDA
156.7925,156.795,156.38,156.575,104876,2021-04-13,23:00:00,NVDA
156.4425,156.5,156.325,156.3625,23320,2021-04-14,00:00:00,NVDA
156.525,156.525,156.125,156.375,52448,2021-04-14,01:00:00,NVDA
156.6125,156.875,156.5275,156.675,16600,2021-04-14,10:00:00,NVDA
156.5,156.5,156.5,156.5,1996,2021-04-14,11:00:00,NVDA
156.02,156.02,155.81,155.81,4608,2021-04-14,12:00:00,NVDA
156.08,156.725,156.08,156.5275,56436,2021-04-14,13:00:00,NVDA
156.3125,156.65,155.9525,155.9525,127856,2021-04-14,14:00:00,NVDA
156.0,157.2046,154.75,155.8125,7234436.0,2021-04-14,15:00:00,NVDA
155.8725,156.5725,154.0275,155.8131,7405956.0,2021-04-14,16:00:00,NVDA
155.8438,156.015,154.4625,155.7925,4197108.0,2021-04-14,17:00:00,NVDA
155.75,155.995,155.0825,155.5568,2385208.0,2021-04-14,18:00:00,NVDA
155.5625,155.7975,153.9425,154.15,2691512.0,2021-04-14,19:00:00,NVDA
154.095,154.245,152.89,152.9125,4248764.0,2021-04-14,20:00:00,NVDA
152.925,153.785,152.275,152.8525,6678956.0,2021-04-14,21:00:00,NVDA
152.77,153.245,152.77,153.125,1207720.0,2021-04-14,22:00:00,NVDA
153.125,153.3125,153.125,153.2,24324,2021-04-14,23:00:00,NVDA
153.125,153.25,153.0625,153.0625,9092,2021-04-15,00:00:00,NVDA
153.0625,153.125,153.0,153.0,17136,2021-04-15,01:00:00,NVDA
154.7375,154.7375,154.125,154.5,10908,2021-04-15,10:00:00,NVDA
154.2525,154.425,154.2525,154.425,4664,2021-04-15,11:00:00,NVDA
154.425,155.5675,154.425,155.5625,42576,2021-04-15,12:00:00,NVDA
155.2825,155.92,155.125,155.745,167012,2021-04-15,13:00:00,NVDA
155.5675,156.7225,152.3883,156.5125,304804,2021-04-15,14:00:00,NVDA
156.5975,160.2375,156.225,159.3875,12562300.0,2021-04-15,15:00:00,NVDA
159.4038,160.6525,158.5675,159.7725,10428204.0,2021-04-15,16:00:00,NVDA
159.7598,160.175,159.1075,159.5714,4385948.0,2021-04-15,17:00:00,NVDA
159.5975,160.875,159.1625,160.862,6864308.0,2021-04-15,18:00:00,NVDA
160.8525,162.08,160.1375,161.9409,7132576.0,2021-04-15,19:00:00,NVDA
161.9507,162.125,161.395,161.9825,5572164.0,2021-04-15,20:00:00,NVDA
161.965,162.1415,160.88,161.3725,9257396.0,2021-04-15,21:00:00,NVDA
161.3725,161.3725,161.125,161.2525,891344,2021-04-15,22:00:00,NVDA
161.3,161.3375,161.2,161.25,26296,2021-04-15,23:00:00,NVDA
